Reference number,Property area,Type,Parking,Condition,Furnishing,Included,Postal code,Air conditioning,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Online viewing,Construction year
44944,87,Penthouse,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony",,"Full, all rooms",A,2,7759,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Makenzy",5686706,Posted: Today 00:14,675000,7759,Kalogirou Real Estate,"Posting since mar, 2017","Penthouse with outstanding view for sale next to the sea in Mackenzy Larnaca. Makenzy is a touristic area with a variety of shops and entertainment facilities. Within walking distance to the promenade and Larnaca town center. The Larnaca International Airport is just a few minutes away..The apartment consists of an open plan kitchen with living & dining area, a main shower with wc and two bedrooms the master en-suite. It offers covered veranda, storage room and private parking space on the ground floor..This flat is a part of a seaside residential project, where luxury meets tranquility. Nestled along the coastline, this development boasts 18, one and two-bedroom apartment models, each meticulously designed for modern living. With six floors of elegance, every residence offers breathtaking panoramic views of the sea, inviting you to indulge in the beauty of nature from the comfort of your home. Additionally, two penthouses crown the structure, featuring exquisite rooftop garden, perfect for savoring the coastal breeze and soaking in the sunsets. Embrace a lifestyle of serenity and sophistication at our seaside retreat..Extras: Solar Panels, Photovoltaic Panels, Provision A/C, Private Covered Parking",34.90043789515305,33.63727253826989,6th,No,
44940,76,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony",,"Full, all rooms",A,2,5724,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5686704,Posted: Today 00:14,435000,5724,Kalogirou Real Estate,"Posting since mar, 2017","Two-bedroom Apartment for sale next to the sea in Mackenzy Larnaca. Makenzy is a touristic area with a variety of shops and entertainment facilities. Within walking distance to the promenade and Larnaca town center. The Larnaca International Airport is just a few minutes away..The apartment consists of an open plan kitchen with living & dining area, guest wc and two bedrooms both en-suite. It offers covered veranda, storage room and private parking space on the ground floor..This flat is a part of a seaside residential project, where luxury meets tranquility. Nestled along the coastline, this development boasts 18, one and two-bedroom apartment models, each meticulously designed for modern living. With six floors of elegance, every residence offers breathtaking panoramic views of the sea, inviting you to indulge in the beauty of nature from the comfort of your home. Additionally, two penthouses crown the structure, featuring exquisite rooftop gardens, perfect for savoring the coastal breeze and soaking in the sunsets. Embrace a lifestyle of serenity and sophistication at our seaside retreat..Extras: Solar Panels, Photovoltaic Panels, Provision A/C, Private Covered Parking",34.90043789515305,33.63727253826989,4th,No,
42905,81,Apartment,Covered,Under construction,Unfurnished,"Pool, Elevator, Balcony",,"Full, all rooms",A,2,3086,1,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5124803,Posted: Today 00:14,250000,3086,Kalogirou Real Estate,"Posting since mar, 2017","Nicely, Two Bedroom Apartment for sale in Livadia. Amazing location, close to all amenities such as schools, supermarkets, banks, coffee shops, pharmacies etc. A short drive to Larnaca Town Center, the harbor and the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is only 14 minutes away..Apartment for Sale in Livadia area, Larnaca. This amazing property consists of an open plan kitchen and living room with dining area, two bedrooms, one bathroom, one en-suite shower in the master bedroom and 2wc..The area of the property is characterized as residential and quiet..The luxury block comprises three floors with 13 select apartments of two and three bedrooms each..The highly distinctive and innovative building features a modern design that cleverly incorporates a perfect blend of visionary architecture and ultra-lux interiors for ultimate contemporary living. The style of the building is enhanced by a design that strategically incorporates materials of glass, steel, wood.and concrete to create an urban oasis that is a first of its kind. Each apartment enjoys generous proportions, stunning interior layouts with clever and creative use of space, and large verandas where glass fronts allow an abundance of sunlight to stream in..Nestled in the heart of our landscaped gardens, our exclusive pool offers residents an oasis to indulge in, providing ample space for both swimming and relaxation. The gated entrance ensures the privacy of our residents, while the contemporary sun loungers provide the perfect spot for sunbathing and unwinding..Extra: Elevator, Storage room, Roof Garden, Common Pool, Covered parking.",34.9529143,33.6299676,1st,No,
6656,80,Apartment,Covered,Under construction,,"Storage room, Elevator",,"Full, all rooms",A,2,2250,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5963045,Posted: Today 00:06,180000,2250,CIC PROPERTIES,"Posting since dec, 2020","For sale: A modern, off-plan apartment offering 80 square meter of comfortable internal space. This well-designed home features two spacious bedrooms and two contemporary bathrooms, perfect for small families, couples or professionals. It is located on the first floor of a three-story building with an elevator for easy access..The apartment is situated in Aradippou, a vibrant and growing area known for its tranquil residential streets and convenient location. Aradippou combines the charm of a friendly community with the benefits of city living. You'll enjoy quick access to the highway, making travel to the city center and other destinations simple. All major amenities such as supermarkets, schools, cafes and shops are nearby, adding to your daily convenience..Large windows offer a pleasant city view, while the modern design gives you a stylish and comfortable living environment. With completion set for 2027, this is a great opportunity to secure your space in a desirable location and watch your investment grow..This apartment is offered for sale by CIC Properties. Contact us for more information or to arrange a viewing.",,,1st,No,
6643,52,Apartment,Covered,Resale,Appliances οnly,"Pool, Storage room, Elevator, Balcony",,"Full, all rooms",B,1,1923,1,1-bedroom apartment fоr sаle,"Larnaca, Tersefanou",5963043,Posted: Today 00:06,100000,1923,CIC PROPERTIES,"Posting since dec, 2020","For sale is a modern resale apartment offering a comfortable living space of 51.6 square meters. Built in 2010, this well-maintained unit is situated on the first floor of a two-story building, easily accessible by elevator. The apartment features one spacious bedroom and one contemporary bathroom, making it an excellent choice for singles or couples..Enjoy the bright and airy living area with both city and country views, creating a relaxing atmosphere after a busy day. Residents have access to a well-kept communal swimming pool, perfect for leisure and relaxation..The building is conveniently located close to the highway and within easy reach of essential amenities such as shops, supermarkets, and restaurants. This property is ideal for those seeking a balance between urban connectivity and peaceful surroundings..This inviting apartment is proudly marketed by CIC Properties. Contact us today to arrange a viewing or request further information.",,,1st,No,2010
6502,76,Apartment,Covered,Under construction,,"Storage room, Elevator, Balcony",,"Full, all rooms",A,2,2500,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5921658,Posted: Today 00:06,190000,2500,CIC PROPERTIES,"Posting since dec, 2020","Completion Date: December 2026.For sale is a modern apartment under construction in the desirable area of Aradippou. This property offers an internal space of 76 square meter and is designed for comfortable living. Located on the first floor of a three-story building, it features convenient elevator access..The apartment consists of two spacious bedrooms and two contemporary bathrooms. With an energy efficiency rating of A, it promises lower utility costs and a smaller environmental footprint. The bright, open-plan living area and modern finishes create an inviting atmosphere, perfect for both relaxation and entertaining..Aradippou is a well-developed residential area known for its friendly community and peaceful environment. Residents enjoy easy access to a range of amenities, including shops, schools, parks, and restaurants. The neighborhood combines suburban tranquility with the convenience of being close to major roads and public transport, making it ideal for families and professionals..The apartment is scheduled for completion in 2026, giving you the opportunity to secure a brand-new home. For more information or to arrange a viewing, contact CIC Properties today. This is a great chance to invest in a quality property in one of the most sought-after areas.",,,1st,No,
6453,55,Apartment,Covered,Under construction,,"Storage room, Balcony",,"Full, all rooms",A,1,2636,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5907958,Posted: Today 00:06,145000,2636,CIC PROPERTIES,"Posting since dec, 2020","For sale: Discover this modern apartment built in 2025, designed for comfort and convenience. With a well-planned internal space of 55 square meters, this home offers a contemporary living environment perfect for individuals or couples..The apartment features one spacious bedroom, providing a relaxing retreat after a long day. The modern bathroom is fitted with quality fixtures and a neat layout. The open living area flows seamlessly to a stylish kitchen, equipped with sleek cabinetry and space for your appliances..Located on the first floor of a three-story building, access is easy and practical. A central AC system ensures year-round comfort, keeping your home cool in the summer and warm in the winter. Large windows allow plenty of natural light, enhancing the welcoming atmosphere throughout..This property represents an excellent opportunity for anyone looking to own a modern, low-maintenance apartment. Enjoy the benefits of a new build and thoughtful design. For more details or to arrange a viewing, contact CIC Properties today.",,,1st,No,
36021,127,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",A,3,6772,2,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5779588,Posted: Yesterday 21:14,860000,6772,Kalogirou Real Estate,"Posting since mar, 2017","Deluxe, Sea View, Three Bedroom Apartment for Sale in Makenzy area, Larnaca. Amazing location, within walking distance to the beach, coffee shops, bars, restaurants etc. Only 5 minutes away from Larnaca Town Center. Easy access to amenities such as supermarket, shops, banks etc. A 4-minute drive to Larnaca International Airport. Easy access to Larnaca, Nicosia motorway..Apartment for Sale in Makenzy area, Larnaca. This beautiful apartment consists of an open space kitchen and living room with dining area, three bedrooms, one guest toilet, en-suite bathroom in the master bedroom, one common bathroom, 3wc, covered veranda, storage room and covered parking. The property also has provision for A/C and provision for central heating. However, there’s an option for floor heating system..This amazing project has 9 floors in total. The first, second and third floors have six apartments in total and the fourth, fifth, sixth and seventh floors have five apartments in total. All apartments have a private storage room and one covered parking space..The eighth and ninth floor are combined together, meaning they are duplex apartments, also described as sky villas, and there are five apartments in total. The sky villas have 2 private parking spaces, a private roof garden with BBQ area and family size Jacuzzis that could fit 6-8 persons..This project is equipped with prime design and facilities that will ensure its tenants a comfortable and splendid Larnaca lifestyle. The apartments on this project will also have photovoltaic systems, HD video access system and remote controlled access for the basement. It is noted that the parking is underground..Extra: Elevator, Photovoltaic System, Underground Covered Parking, Storage Room, Provision for A/C, Provision for Central Heating or Underfloor Heating, Sea View, Water Pressure System.",34.8946336,33.63721140000001,6th,No,
36018,85,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",A,2,8353,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5779587,Posted: Yesterday 21:14,710000,8353,Kalogirou Real Estate,"Posting since mar, 2017","Sea View, Luxurious, Two Bedroom Apartment for Sale in Makenzy area, Larnaca. Amazing location, within walking distance to the beach, coffee shops, bars, restaurants etc. Only 5 minutes away from Larnaca Town Center. Easy access to amenities such as supermarket, shops, banks etc. A 4-minute drive to Larnaca International Airport. Easy access to Larnaca, Nicosia motorway..Apartment for Sale in Makenzy area, Larnaca. This beautiful apartment consists of an open space kitchen and living room with dining area, two bedrooms, one guest toilet, en-suite bathrooms in both bedrooms, 3wc, covered veranda, storage room and covered parking. The property also has provision for A/C and provision for central heating. However, there’s an option for floor heating system..This amazing project has 9 floors in total. The first, second and third floors have six apartments in total and the fourth, fifth, sixth and seventh floors have five apartments in total. All apartments have a private storage room and one covered parking space..The eighth and ninth floor are combined together, meaning they are duplex apartments, also described as sky villas, and there are five apartments in total. The sky villas have 2 private parking spaces, a private roof garden with BBQ area and family size Jacuzzis that could fit 6-8 persons..This project is equipped with prime design and facilities that will ensure its tenants a comfortable and splendid Larnaca lifestyle. The apartments on this project will also have photovoltaic systems, HD video access system and remote controlled access for the basement. It is noted that the parking is underground..Extra: Elevator, Photovoltaic System, Underground Covered Parking, Storage Room, Provision for A/C, Provision for Central Heating or Underfloor Heating, Sea View, Water Pressure System.",34.8946336,33.63721140000001,6th,No,
35830,87,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",N/A,2,5575,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5779586,Posted: Yesterday 21:14,485000,5575,Kalogirou Real Estate,"Posting since mar, 2017","Dazzling, Two Bedroom Apartment for Sale in Makenzy area, Larnaca. Amazing location, within walking distance to the beach, coffee shops, bars, restaurants etc. Only 5 minutes away from Larnaca Town Center. Easy access to amenities such as supermarket, shops, banks etc. A 4-minute drive to Larnaca International Airport. Easy access to Larnaca, Nicosia motorway..Apartment for Sale in Makenzy area, Larnaca. This beautiful apartment consists of an open space kitchen and living room with dining area, two bedrooms, one guest toilet, en-suite bathrooms in both bedrooms, 3wc, covered veranda, storage room and covered parking. The property also has provision for A/C and provision for central heating. However, there’s an option for floor heating system..This amazing project has 9 floors in total. The first, second and third floors have six apartments in total and the fourth, fifth, sixth and seventh floors have five apartments in total. All apartments have a private storage room and one covered parking space..The eighth and ninth floor are combined together, meaning they are duplex apartments, also described as sky villas, and there are five apartments in total. The sky villas have 2 private parking spaces, a private roof garden with BBQ area and family size Jacuzzis that could fit 6-8 persons..This project is equipped with prime design and facilities that will ensure its tenants a comfortable and splendid Larnaca lifestyle. The apartments on this project will also have photovoltaic systems, HD video access system and remote controlled access for the basement. It is noted that the parking is underground..Extra: Elevator, Photovoltaic System, Underground Covered Parking, Storage Room, Provision for A/C, Provision for Central Heating or Underfloor Heating, Sea View, Water Pressure System.",34.8946336,33.63721140000001,1st,No,
1170,75,Apartment,No,Brand new,Fully Furnished,"Storage room, Elevator, Alarm, Balcony",6017,"Full, all rooms",N/A,2,7333,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5639390,Posted: Yesterday 21:09,550000,7333,EUROESTATE S.D AGENCY LTD,"Posting since nov, 2023","Experience luxury living in this brand new 2 bedroom furnished apartment located in the Larnaca Marina area. This modern apartment features 2 bedrooms, 2 bathrooms, and is equipped with high-quality electrical appliances and hidden A/C units for your comfort..Enjoy the added benefits of an intercom system with a camera, one uncovered parking spot, storage space, and a stunning sea view. This apartment offers a sophisticated and convenient lifestyle in one of Larnaca's most desirable areas. Don't miss the opportunity to make this exceptional property your new home..Please contact us for further information and to arrange a viewing.",34.930281,33.636985,,,2023
14215,80,Apartment,Covered,Under construction,Unfurnished,Balcony,,"Full, all rooms",A,2,3750,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5962805,Posted: Yesterday 21:07,300000,3750,Cyprus Sothebys International Realty,"Posting since sep, 2022","Discover the allure of this new luxury residential development nestled in the highly desirable area of Larnaca Marina. Surrounded by picturesque landscapes and boasting breathtaking panoramic views, the complex offers close proximity to supermarkets, shopping centers, renowned private schools like the American Academy, and seamless access to the highway network connecting the island's key cities..The seven-story building presents modern 1-2 bedroom apartments, seamlessly blending style, comfort, and quality with the latest specifications. It caters to families with children and young professionals seeking contemporary urban living surrounded by essential amenities. The upper-floor apartments feature private and luxurious roof terraces offering a perfect place to unwind and enjoy stunning views of the charming neighborhood. Quick access to the vibrant city center, with its restaurants, bars, entertainment options, and magnificent city beaches, enhances the overall experience. Residents benefit from private covered parking spaces and additional storage for each apartment, ensuring convenience. The shared facilities include a gym, sauna, jacuzzi and communal swimming pool..Immerse yourself in a lifestyle defined by luxury, comfort, and the embrace of natural beauty and tranquility within these exceptional apartments.",34.94052,33.633037,,,
14206,52,Penthouse,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony",,"Full, all rooms",A,1,3846,1,1-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Sotiros",5962803,Posted: Yesterday 21:07,200000,3846,Cyprus Sothebys International Realty,"Posting since sep, 2022","Situated in the vibrant heart of Larnaca, this exclusive new development presents a stunning selection of premium residences that perfectly combine luxury, convenience, and contemporary lifestyle. Its prime location places residents just moments from the ERA shopping center, Super Home Center, the new Marina, as well as Larnaca’s dynamic commercial hub, offering effortless access to a wealth of amenities..The project comprises two modern blocks with a choice of stylish one- and two-bedroom apartments, alongside sophisticated penthouses that boast sweeping city views and the option of a private Jacuzzi upgrade. Designed with open-plan layouts, expansive verandas, and elegant finishes, each home exudes a sense of light, space, and refined comfort..Every residence benefits from private covered parking and dedicated storage space, ensuring everyday practicality. With gated access for enhanced security and high energy efficiency rating A, the development also embraces sustainability, offering residents an eco-friendly lifestyle..Whether as a chic urban home or a secure investment, this project represents an outstanding opportunity to enjoy modern living at its finest in one of Larnaca’s most sought-after locations.",34.93291,33.621441,,,
14180,82,Apartment,No,Under construction,Unfurnished,Balcony,,"Full, all rooms",A,2,3902,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5962799,Posted: Yesterday 21:07,320000,3902,Cyprus Sothebys International Realty,"Posting since sep, 2022","Nestled in the prestigious and tranquil neighborhood of Faneromeni, this new residential project redefines modern living in Larnaca. The highly coveted location combines peace and privacy with outstanding convenience — just minutes from the city center, sandy beaches, schools, green parks, and a variety of shops and restaurants, offering residents the very best of both worlds..The contemporary four-story building showcases spacious two-bedroom apartments and an exclusive two-bedroom penthouse with a private roof terrace. Designed with comfort and style in mind, each residence features open-plan layouts, airy living areas, and elegant balconies with sleek glass balustrades, creating the perfect setting for relaxation. The penthouse elevates the lifestyle experience with a generous rooftop terrace, complete with a lounge and barbecue area, where panoramic views of the iconic Salt Lake provide a stunning backdrop..Combining thoughtful architectural design, premium finishes, and meticulous construction with breathtaking views and a prime location, this development presents a rare opportunity to own a dream home in one of Larnaca’s most desirable districts.",34.911979,33.623589,,,
