Reference number,Property area,Type,Parking,Condition,Furnishing,Air conditioning,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Included,Online viewing,Construction year,Postal code
13777,51,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,3431,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5919842,Posted: Yesterday 00:07,175000,3431,Cyprus Sothebys International Realty,"Posting since sep, 2022","Located in the desirable Aradippou area of Larnaca, this premium residential development offers an exceptional blend of modern technology, elevated comfort, and refined aesthetics. Designed to provide a stylish and secure living environment, the project sets a new standard for contemporary urban living..The development offers a variety of one-, two-, and three-bedroom apartments, along with exclusive penthouses. Each residence is outfitted with a smart home system, allowing effortless control of lighting, climate, and security. Residents will also benefit from premium shared amenities, including a communal swimming pool, gated entry, controlled access, and a video surveillance system - providing both comfort and privacy. Covered parking and private storage units further enhance everyday convenience..Characterised by sleek architectural design, high-quality finishes, and well-planned layouts, the complex reflects prestige and modern sophistication. Its strategic location ensures easy access to Larnaca’s city center, international airport, major highways, and all essential services..This exceptional development presents a rare opportunity for both comfortable living and smart investment in one of Larnaca’s fastest-growing areas.",34.931146,33.592764,,"Pool, Storage room, Balcony",,,
7475,81,Penthouse,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,4074,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",4970221,Posted: Yesterday 00:06,330000,4074,Cyprus Sothebys International Realty,"Posting since sep, 2022","This new contemporary project offers a range of 1-3-bedroom apartments with spacious terraces and exclusive penthouses featuring rooftop gardens with stunning views of Larnaca coast..Here residents will enjoy a highly convenient location on one of the city's busiest streets, within walking distance of Larnaca Salt Lake, and just a short drive to the popular Finikoudes beach and urban conveniences. Additionally, the city center, highway network, and Larnaca International Airport are all easily accessible..Each apartment features a modern and comfortable layout, stylish kitchens with granite worktops, thermo-aluminium windows, provision for air-conditioning, covered private parking and convenient storage space..In the construction phase of the project, clients have the option of individual selection of finishing materials and interior elements, which allows them to make all their design preferences and dreams come true. The energy efficiency of the building meets class ""A"", which enables to upgrade to smart home technology, elevating your living space to new levels of luxury and convenience..Furthermore, the advantageous location ensures that residents can savor the beauty of the surrounding natural landscapes throughout the year. With all the benefits this project has to offer, it would make an ideal investment for those looking for a new modern home or a property with high rental yields.",34.914086,33.613411,,Balcony,,,
4835,109,Apartment,Uncovered,Brand new,,"Full, all rooms",N/A,3,11009,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5961501,Posted: Yesterday 00:06,1200000,11009,Cyprus Sothebys International Realty,"Posting since sep, 2022","The mid-rise modern apartment building is created to deliver a calm environment for the residents to enjoy. Uniquely positioned to overlook the new port and marina along Larnaca waterfront it is only steps from some of the best dining and shopping venues that the city has to offer. Boasting some amazing sea views and being just a short walk from the Foinikoudes seafront promenade, it is close to all city services and amenities, as well as the highway the Larnaca International Airport..The facade of the complex reflects the ever-changing surface of the sea with its waves, dips and peaks so not only is the design adapting to the surroundings but is actually contributing by adding a new distinctive architecture..The project includes spacious two and three bedroom apartments. The gracious layouts feature south facing panoramic windows, open plan living area and kitchen, large master bedroom suite, and a generous second/ third bedroom. The location of the living/dining areas give privacy to each bedroom. The apartments feature large private verandas and floor-to ceiling windows, a gourmet kitchen and contemporary finishes that makes you feel at home.",34.923119,33.637596,,Balcony,,,
,116,Apartment,Covered,Resale,Fully Furnished,"Full, all rooms",N/A,3,2155,,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agioi Anargyroi I",6010381,Posted: 24.09.2025 22:50,250000,negotiable,Panayiotis H.,"Posting since mar, 2019","* 3 bedrooms.* 2 bathrooms.* Property area: 88square meters + 2 balconies 28square meters.* Parking.* Fully furnished.* Air conditioning in all rooms.* Swimming pool.* Location: Larnaca, Martin Louther King, Raphael luxury apartments, Block B3 ap/t 201.* Near Larnaca marina, Land of tomorrow, Sklavenitis supermarket",34.93537749999999,33.63101719999997,2nd,"Pool, Elevator, Balcony",No,2010,
6723,103,Apartment,,Under construction,,,A,3,6019,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",4656846,Posted: 24.09.2025 21:36,620000,650000,Arena Properties,"Posting since feb, 2017","3 bed Penthouse for sale in Larnaca.This project boasts a very original, affluent and futuristic design of high artistic caliber, with numerous architectural features and exterior finishes..This A’ class energy efficient building comprises 14 spacious apartments with large veranda areas, en-suite bathrooms, large kitchen, covered parking and storage rooms..The project also sports communal adult and kiddy pools, equipped with both outdoor and indoor shower facilities and extensive landscaped green areas..Very conveniently located in close proximity to the Radisson-Blu hotel,  a mere 2 minutes from the beach and within easy walking distance to the town center with its many shops, restaurants, cafes bars and other local amenities. The location also offers very easy access onto the highway network. However, being set off the main strip, this location offers you all the benefits of quiet residential living while allowing easy and quick access to Larnaca's popular nightlife.",34.935849305637,33.635086893797,,,,,
6722,103,Apartment,,Under construction,,,A,3,4126,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",4656836,Posted: 24.09.2025 21:36,425000,4126,Arena Properties,"Posting since feb, 2017","3 bed Apt for sale in Larnaca.This project boasts a very original, affluent and futuristic design of high artistic caliber, with numerous architectural features and exterior finishes..This A’ class energy efficient building comprises 14 spacious apartments with large veranda areas, en-suite bathrooms, large kitchen, covered parking and storage rooms..The project also sports communal adult and kiddy pools, equipped with both outdoor and indoor shower facilities and extensive landscaped green areas..Very conveniently located in close proximity to the Radisson-Blu hotel,  a mere 2 minutes from the beach and within easy walking distance to the town center with its many shops, restaurants, cafes bars and other local amenities. The location also offers very easy access onto the highway network. However, being set off the main strip, this location offers you all the benefits of quiet residential living while allowing easy and quick access to Larnaca's popular nightlife.",34.935849305637,33.635086893797,,,,,
7993,50,Apartment,,Under construction,,,N/A,1,3100,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5221048,Posted: 24.09.2025 21:35,155000,185000,Arena Properties,"Posting since feb, 2017","1 Bed Penthouses in Aradippou for sale.Introducing our exquisite off-plan apartments for sale in the charming locale of Aradippou. Nestled within a serene complex boasting a total of 9 units, these modern residences offer the epitome of comfort and style..This penthouse features 1 bedroom and 1 bathroom, designed to accommodate contemporary living needs. With an anticipated completion date in December 2025, these homes present an exciting opportunity to invest in a flourishing community..Situated on the 3rd floor, this apartment offer a generous covered area of 50m2, complemented by a spacious covered veranda spanning 17m2 and roof garden of 33m2. Enjoy the perfect balance of indoor and outdoor living, ideal for relaxation and entertainment alike..The convenience of modern living is further enhanced by the presence of an elevator within the building, ensuring effortless access to your abode. Additionally, each apartment comes with the luxury of a covered parking space, providing utmost convenience and security for residents..Don't miss your chance to own a piece of this vibrant community in Aradippou. Enquire now to secure your place in this exclusive development and embrace a lifestyle of comfort, elegance, and convenience.",34.9521888,33.5908529,,,,,
8091,77,Penthouse,Covered,Under construction,Unfurnished,No,A,2,4351,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Sotiros",5124234,Posted: 24.09.2025 21:26,335000,4351,M.Residence Ltd,"Posting since feb, 2017",Beautiful flat in the fastest developing area in Larnaca: The New Marina area! The project will consist of 2 separate buildings composed of 2 bedroom apartments and is strategically located at 1300 meters from the New Marina & Port close to Era Department Shop.,34.9422724,33.6312007,,,,,
52557,87,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,3506,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919454,Posted: 24.09.2025 21:16,305000,3506,Kalogirou Real Estate,"Posting since mar, 2017","Stylish, Two Bedroom Apartment for sale in Livadia area, Larnaca. Livadia is one of the most luxurious areas of Larnaca, a few minutes away from the New Marina of Larnaca and the new American University of Cyprus. The property is 300 meters from the sea and close to several amenities. A short drive to Larnaca town. Easy access to Larnaca, Ayia Napa, Nicosia motorway..First floor apartment, part of an amazing complex for sale in Livadia area, in Larnaca. It consists of an open plan kitchen, dining and living area, a shower room, two bedrooms, en suite with shower master bedroom and covered veranda. In addition, the residents have exclusive right of use to a covered parking spot on the ground floor..The owner/residents of the complex have the right to use the common pool, common gym & sauna of the complex..The development boasts 2 blocks of apartments. There are 1,2 and 3 bedroom apartments all of them with covered parking and store room. The communal pool, gym and sauna are situated on the ground level..Extra: Provision A/C, Covered Veranda, Covered Parking, Communal Swimming Pool, Gym, Sauna",34.94727685029314,33.64256889574852,1st,"Pool, Storage room, Elevator",No,,
52555,88,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,5227,3,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919452,Posted: 24.09.2025 21:16,460000,5227,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, Two Bedroom Flat with Roof Garden for sale in Livadia area, Larnaca. Livadia is one of the most luxurious areas of Larnaca, a few minutes away from the New Marina of Larnaca and the new American University of Cyprus. The property is 300 meters from the sea and close to several amenities. A short drive to Larnaca town. Easy access to Larnaca, Ayia Napa, Nicosia motorway..Apartment, part of an amazing complex for sale in Livadia area, in Larnaca. It consists of an open plan kitchen, dining and living area, a main bathroom, two bedrooms, master bedroom en suite with shower, covered veranda and big roof garden. The roof garden comprised of the veranda area, storage room, shower room and Jacuzzi. In addition, the residents have exclusive right of use to a covered parking spot on the ground floor..The owner/residents of the complex have the right to use the common pool, common gym & sauna of the complex..The development boasts 2 blocks of apartments. There are 1,2 and 3 bedroom apartments all of them with covered parking and store room. The communal pool, gym and sauna are situated on the ground level..Extra: Provision A/C, Covered Veranda, Roof Garden, Jacuzzi, Covered Parking, Communal Swimming Pool, Gym, Sauna",34.94727685029314,33.64256889574852,4th,"Pool, Storage room, Elevator",No,,
51482,82,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,4024,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5777840,Posted: 24.09.2025 21:15,330000,4024,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, Two Bedroom Apartment with Roof Garden for sale in Mall area, Larnaca. Great location, as all amenities, such as Greek and English schools, major supermarkets, entertainment and sporting facilities, are within close proximity. Located in a lovely residential area of Larnaca within proximity to the New Metropolis Mall. There is easy access to major highways without getting delayed in any traffic. The lovely residential neighborhood is quiet and family orientated surrounded by large luxury houses and residential properties..Apartment for sale in New Mall area, Larnaca Town. It is on the third floor and consists of an open plan kitchen, living, dining area, a main bathroom, two bedrooms, one en suite shower with wc, a big covered veranda & an amazing roof garden with city view. The roof garden consists of the veranda area, storage room and a guest wc. Moreover, the property has access to an allocated covered parking space and storage room..The apartment is part of a contemporary apartment building. It boasts 8 one-, two-, three- bedroom apartments. Top floor apartments enjoy private roof gardens with lovely city views, while all units have exclusive right of use to one covered parking bay and storage room..Extra: Roof Garden, Provision A/C, Big Veranda, Covered Parking, Storage, Elevator",34.92875659712404,33.60246765755895,3rd,"Storage room, Elevator",No,,
51476,54,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,2963,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5777837,Posted: 24.09.2025 21:15,160000,2963,Kalogirou Real Estate,"Posting since mar, 2017","Cozy, One Bedroom Apartment for sale in Mall area, Larnaca. Great location, as all amenities, such as Greek and English schools, major supermarkets, entertainment and sporting facilities, are within close proximity. Located in a lovely residential area of Larnaca within proximity to the New Metropolis Mall. There is easy access to major highways without getting delayed in any traffic. The lovely residential neighborhood is quiet and family orientated surrounded by large luxury houses and residential properties..First floor apartment for sale in New Mall area, Larnaca Town. It consists of an open plan kitchen, living, dining area, a main bathroom, one bedroom, covered & uncovered balcony. The property has access to an allocated covered parking space and storage room..The apartment is part of a contemporary apartment building. It boasts 8 one-, two-, three- bedroom apartments. Top floor apartments enjoy private roof gardens with lovely city views, while all units have exclusive right of use to one covered parking bay and storage room..Extra: Provision A/C, Balcony, Covered Parking, Storage, Elevator",34.92875659712404,33.60246765755895,1st,"Storage room, Elevator, Balcony",No,,
51475,51,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,3137,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5777836,Posted: 24.09.2025 21:15,160000,3137,Kalogirou Real Estate,"Posting since mar, 2017","First Floor, One Bedroom Apartment for sale in Mall area, Larnaca. Great location, as all amenities, such as Greek and English schools, major supermarkets, entertainment and sporting facilities, are within close proximity. Located in a lovely residential area of Larnaca within proximity to the New Metropolis Mall. There is easy access to major highways without getting delayed in any traffic. The lovely residential neighborhood is quiet and family orientated surrounded by large luxury houses and residential properties..Apartment for sale in New Mall area, Larnaca Town. It consists of an open plan kitchen, living, dining area, a main bathroom (with shower), one bedroom and covered veranda. The property has access to an allocated covered parking space and storage room..The apartment is part of a contemporary apartment building. It boasts 8 one-, two-, three- bedroom apartments. Top floor apartments enjoy private roof gardens with lovely city views, while all units have exclusive right of use to one covered parking bay and storage room..Extra: Provision A/C, Covered Veranda, Covered Parking, Storage, Elevator",34.92875659712404,33.60246765755895,1st,"Storage room, Elevator",No,,
49762,74,Apartment,Covered,Resale,Unfurnished,"Full, all rooms",In Progress,2,1419,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kokkines",5961302,Posted: 24.09.2025 21:15,105000,1419,Kalogirou Real Estate,"Posting since mar, 2017","Ground Floor, Two Bedrooms Apartment for Sale in Tsiakilero Area, Larnaca. Easy access to all amenities including Greek and English Schools, supermarket, bank, bus service, medical facilities etc. The Metropolis Mall of Larnaca is within close proximity. A short drive to Larnaca Town Centre, the harbor and the beach. A 10-minute drive to the airport. Easy access to Larnaca, Limassol Nicosia motorway..Apartment for sale in Larnaca, Tsiakilero area. The property has 74 sq. m of area and it consists of an open plan kitchen, living and dining area, two bedrooms, a main bathroom with wc and a guest toilet. The asset has also a covered veranda of 12 sq.m. , covered parking and a communal swimming pool..It is noted that the property is being sold through an assignment of a contract of sale..Extra: Communal Swimming Pool, Elevator, Storage, Covered Parking, Kitchen Appliances, Covered Veranda, A/C",34.9382201851834,33.61169879570255,Ground floor,"Pool, Storage room, Elevator",No,2006,
46050,93,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,3226,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5343692,Posted: 24.09.2025 21:15,300000,3226,Kalogirou Real Estate,"Posting since mar, 2017","Stunning, Entire Floor Apartment for sale in Faneromeni area, Larnaca. The property is located in Great location, in a close distance to Phoinikoudes beach and Saint Lazarus church. All amenities, such as Greek and English schools, major supermarkets, entertainment and sporting facilities, are within close proximity. A short drive to Larnaca Town Centre, the harbour and the beach. A 7-minute drive to the airport. Easy access to Larnaca, Limassol Nicosia motorway..Single Floor Apartment for Sale in Faneromeni area, Larnaca. The property has internal covered area of 93 sq m and is situated on the first floor. It consists of a living room, kitchen and dining area as open space, two bedrooms the master en-suite and a main bath. In addition, the property provides spacious covered veranda, large uncovered veranda. Covered parking space available on the ground floor..The project boasts only 3 two-bedrooms apartments in total, all of them as a single floor residences in a 3-storey residential building, with storage and covered parking for each apartment. This construct is made by using the latest trends and the highest quality of materials..Extra: Covered Veranda, Large Uncovered Veranda, Elevator, Covered parking, Provision for A/C",34.90857,33.62735869999999,1st,"Storage room, Elevator, Balcony",No,2020,6031
173651,163,Apartment,Covered,Under construction,Unfurnished,No,A,2,1902,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5961268,Posted: 24.09.2025 21:09,310000,1902,DOM Real Estate,"Posting since jul, 2019","2 bedroom penthouse for sale in a new residential complex in the Sotiros area, Larnaca. Comprising 8 modern two bedroom apartments, ideal for modern city living. Located in a prime location, with easy access to blue flag beaches, shopping, restaurants and entertainment, it is the perfect place to call home for those looking for maximum quality and convenience. High-quality European ceramic floor. Aluminum window frames with double glazing. High-quality European ceramic tiles on bathroom walls. Security entrance doors and an intercom system. High-quality sanitary ware from leading European brands. A photovoltaic system is installed in the common areas. The penthouses will be equipped with a 2 kW photovoltaic system. All apartments have spacious, comfortable interiors and spacious balconies.",,,,,Yes,,4102
173648,94,Apartment,Covered,Under construction,Unfurnished,No,A,2,2564,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5961267,Posted: 24.09.2025 21:09,241000,2564,DOM Real Estate,"Posting since jul, 2019","2 bedroom apartment for sale in a new residential complex in the Sotiros area, Larnaca. Comprising 8 modern two bedroom apartments, ideal for modern city living. Located in a prime location, with easy access to blue flag beaches, shopping, restaurants and entertainment, it is the perfect place to call home for those looking for maximum quality and convenience. High-quality European ceramic floor. Aluminum window frames with double glazing. High-quality European ceramic tiles on bathroom walls. Security entrance doors and an intercom system. High-quality sanitary ware from leading European brands. A photovoltaic system is installed in the common areas. The penthouses will be equipped with a 2 kW photovoltaic system. All apartments have spacious, comfortable interiors and spacious balconies.",,,,,Yes,,4102
9431,77,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,2494,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5608408,Posted: 24.09.2025 21:07,192000,2494,Cyprus Sothebys International Realty,"Posting since sep, 2022","Experience modern living at its finest with this exceptional new development, featuring four blocks of luxury apartments. Nestled near the prestigious Land of Tomorrow project, pristine blue flag beaches, and a well-connected highway network, this prime location offers unparalleled comfort and effortless access to all essential amenities..Each apartment is meticulously designed with an open-plan layout that seamlessly integrates the living and dining areas, creating a spacious and welcoming environment. The interiors are adorned with decorative false ceilings and high-quality finishes. The modern kitchens are equipped with soft-closing cabinets and elegant granite countertops. Floor-to-ceiling wardrobes maximize storage and enhance room aesthetics, while the option for parquet flooring adds a touch of luxury and warmth to your home..This development prioritizes sustainability and modern living with features such as energy efficiency class A, concealed A/C and smart home provisions, solar panels for water heating, and a water pressure system..Residents will enjoy an array of luxurious common areas designed for relaxation and recreation, including an outdoor pool, a fully equipped gym, sauna and steam bath rooms. Don't miss the opportunity to be a part of this exclusive community!",34.954545,33.639755,,"Pool, Storage room",,,
7071,83,Penthouse,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,3916,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5919362,Posted: 24.09.2025 21:01,325000,3916,2BUY&2LET,"Posting since jul, 2021","This beautifully crafted two-bedroom penthouse offers a blend of minimalist design and premium finishes, creating a refined and comfortable living space. Featuring generous interiors and high-quality materials throughout, it’s perfect for modern families or professionals. Located in a newly developed urban hub, the property provides easy access to schools, shops, dining, and major highways—combining everyday convenience with contemporary elegance.",34.9276875,33.6028594,,"Storage room, Elevator, Balcony",,,7101
6200,80,Penthouse,Covered,Under construction,Unfurnished,"Full, all rooms",A,3,4063,2,3-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Kamares",5919680,Posted: 24.09.2025 21:01,325000,4063,2BUY&2LET,"Posting since jul, 2021","This beautifully crafted 2+1 bedroom penthouse sits on the fourth floor of a secure, environmentally mindful development—offering a refined blend of luxury, practicality, and sustainability. Surrounded by landscaped greenery and enhanced with upscale amenities..Price: Euro325,000 (+VAT).Estimated Completion: January 2027.5 year WARRANTY.Key Highlights:.- Private gated community with security surveillance.- Elevated rooftop oasis with a swimming pool and panoramic views.- Thoughtfully designed green spaces and communal outdoors.- Exclusive storage unit and covered parking.- Sustainable design with photovoltaic systems.- Energy-efficient building with advanced insulation and seismic safety.- Premium ceramic flooring and wood-effect finishes.- Infrastructure for underfloor heating and full climate control.- Installed wiring for broadband, satellite TV, and phone.- Smart home upgrade options available for convenience",34.9092875,33.5970156,,"Pool, Storage room, Elevator, Alarm, Balcony",,,6040
