Property area,Type,Floor,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Online viewing,Registration block,Registration number
86,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony","Full, all rooms",2025,N/A,2,2558,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5921103,Posted: Yesterday 18:01,220000,2558,2BUY&2LET,"Posting since jul, 2021","Located in a quiet residential area of Livadia, this modern 2-bedroom, 2-bathroom apartment offers 86 square meter of internal space and a 21 square meter covered veranda. Set within a boutique building of 15 apartments, it features high-end materials, smart layout, and energy-efficient construction..Key features:.• 2 bedrooms, 2 bathrooms.• Internal area: 86 square meter.• Veranda: 21 square meter.• Total size: 107 square meter.• First-floor unit.• Covered parking and storage.• Thermal insulation, double-glazed windows.• Provision for A/C and heat pump.• Solar water heater.• Secure building with intercom.Just 5 minutes from the New Marina, Land of Tomorrow, and American University of Cyprus, this apartment offers comfort, style, and long-term value..Contact us to arrange a viewing or for more details.",34.94220145884342,33.62586736679078,7190,6056,,,
51,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Alarm, Balcony","Full, all rooms",,N/A,1,3922,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5921068,Posted: Yesterday 18:01,200000,3922,2BUY&2LET,"Posting since jul, 2021","This stylish 1-bedroom, 1-bathroom penthouse is located in the heart of Livadia, within an exclusive development that combines modern living with high-end design..Situated just a 5-minute drive from the New Marina, the Land of Tomorrow, and the American University of Cyprus, this home is ideal for professionals, couples, or investors seeking strong rental potential and a high-quality lifestyle..Main features:.• 1 bedroom and 1 bathroom.• Internal area: 51 square meter.• Private terrace: 26 square meter.• Total area: 86 square meter.• Covered parking: 9 square meter.• Private storage room.• Modern architecture and premium finishes.• Exclusive residential project with limited units.• Located in a quiet yet central part of Livadia.• Close to shopping, schools, and coastal attractions.Perfect for permanent residence or investment, this property offers a rare opportunity to be part of a luxury community in one of Larnaca’s fastest-growing areas..Contact us for more information or to schedule a viewing.",34.9513826651749,33.625030160849,7183,7060,,,
97,Apartment,,,Under construction,,,,,A,2,2814,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",5844719,Posted: Yesterday 15:43,273000,2814,REMAX CYPRUS,"Posting since apr, 2017","Modern 2-Bedroom Apartment Larnaca City.Apartment 203 2nd Floor.Fully furnished with electrical appliances.2 bedrooms, 2 bathrooms.Internal area: 78.00 sqm.Covered balcony: 19.00 sqm.Total area: 97.00 sqm.Direction: Front View.A bright and functional space in a vibrant city setting..Contact us to arrange a viewing.",34.92510268,33.62043858,480091017-447,,,,
76,Apartment,1st,No,Resale,Unfurnished,Balcony,No,2012,D,2,1513,1,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6011390,Posted: Yesterday 15:39,115000,1513,Property Masters,"Posting since apr, 2019","For sale: A charming resale apartment in the desirable area of Livadia Larnakas. This well-maintained residence offers 76 square meter of internal space, providing a practical layout for comfortable living. The property features two spacious bedrooms and a modern bathroom, making it an ideal choice for couples, small families, or investors..Located on the first floor of a two-story building that was built in 2012, the apartment benefits from a bright and airy atmosphere. The interior is currently unfurnished, allowing you to design and decorate to your own taste..Livadia Larnakas is known for its peaceful environment and convenient amenities. Residents enjoy easy access to shops, schools, and parks, as well as being very close to the highway for stress-free commuting. The area blends quiet suburban living with the convenience of being near the city center..This apartment is a great opportunity for those seeking a quality home in a friendly neighborhood. For more information or to arrange a viewing, please contact Property Masters.",34.95672,33.62608,2651,,No,,
80,Penthouse,,Covered,Under construction,Unfurnished,,No,,A,2,3250,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Skala",5432106,Posted: Yesterday 15:28,260000,3250,M.Residence Ltd,"Posting since feb, 2017","This modern penthouse 2 bedroom apartment located in the peaceful Krasas area of Larnaca. This modern apartment features spacious living areas, a fitted kitchen, and a roof garden for panoramic views. Conveniently situated near local amenities, schools, and just a short drive from Larnaca city center, this property offers both comfort and accessibility, ideal for couples or small families.",34.9072416,33.5917416,9122,,,,
82,Apartment,,Covered,Under construction,Unfurnished,,No,,A,2,2683,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5962235,Posted: Yesterday 15:27,220000,2683,M.Residence Ltd,"Posting since feb, 2017","This spacious two bedroom flat offers a minimalist design with high quality materials and premium finishes throughout. Perfectly located close to Larnaca Mall, it provides easy access to schools, shops, restaurants, and cafes. With convenient access to highways connecting Nicosia, Limassol, and Famagusta, this home combines comfort, style, and excellent connectivity for modern living.",34.9323094,33.6058743,10905,,,,
116,Penthouse,,Covered,Under construction,Unfurnished,,No,,A,3,3103,3,3-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5962234,Posted: Yesterday 15:27,360000,3103,M.Residence Ltd,"Posting since feb, 2017","This impressive 3 bedroom flat features a minimalist design with high quality materials and premium finishes throughout. It offers generous living space complemented by a massive private roof garden, perfect for relaxation and entertaining. Perfectly located close to Larnaca Mall, the property provides easy access to schools, shops, restaurants, and cafes. With convenient access to highways connecting Nicosia, Limassol, and Famagusta, this home combines comfort, style, and excellent connectivity for modern family living.",34.9318094,33.6053743,10906,,,,
82,Penthouse,,Covered,Under construction,Unfurnished,,No,,A,2,4024,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5962232,Posted: Yesterday 15:27,330000,4024,M.Residence Ltd,"Posting since feb, 2017","This impressive 2 bedroom penthouse features a minimalist design with high quality materials and premium finishes throughout. It offers generous living space complemented by a massive private roof garden, perfect for relaxation and entertaining. Perfectly located close to Larnaca Mall, the property provides easy access to schools, shops, restaurants, and cafes. With convenient access to highways connecting Nicosia, Limassol, and Famagusta, this home combines comfort, style, and excellent connectivity for modern family living.",34.9328094,33.6063743,10907,,,,
80,Apartment,,Covered,Under construction,Unfurnished,,No,,A,2,3000,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5962230,Posted: Yesterday 15:27,240000,3000,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom flat is located in one of Larnaca’s fastest developing areas, just steps from the Radisson Blu and within walking distance to the New Marina and Port. Part of a stunning new residential building, the flat offers modern design, quality finishes, and spacious interiors, perfect for comfortable urban living. Set in a vibrant neighborhood with excellent connectivity, the area enjoys an ideal climate year round, allowing residents to fully embrace the nearby coastline and natural surroundings.",34.9369434,33.6379557,10908,,,,
50,Apartment,,Covered,Under construction,Unfurnished,,No,,A,1,3300,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5962226,Posted: Yesterday 15:27,165000,3300,M.Residence Ltd,"Posting since feb, 2017","Discover this beautifully designed1 bedroom apartment in an exclusive gated complex, where style meets comfort. Set in a peaceful location, the residence offers premium shared amenities including a padel court, a stunning pool, a fully equipped gym, and a safe children’s playground, all surrounded by beautifully landscaped grounds. The high quality finishes and elegant design create a sense of modern luxury, while the quiet setting provides a perfect retreat from the bustle of city life. With excellent access to main roads, shops, and daily essentials, this home offers the ideal balance of serenity and convenience.",34.9386633,33.6071974,10917,,,,
75,Penthouse,,Covered,Under construction,Unfurnished,,No,,A,2,3933,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5962224,Posted: Yesterday 15:27,295000,3933,M.Residence Ltd,"Posting since feb, 2017","Experience elevated living in this stunning 2 bedroom penthouse, set within an exclusive gated complex that blends style, comfort, and resort-style amenities. Enjoy access to a padel court, a sparkling communal pool, a fully equipped gym, and a safe children’s playground, all framed by beautifully landscaped surroundings. The penthouse boasts high quality finishes, abundant natural light, and a spacious private roof garden, perfect for entertaining or relaxing while taking in the serene views. Located in a quiet area with excellent access to main roads, shops, and daily conveniences, it offers the perfect balance of tranquility and connectivity.",34.9391633,33.6076974,10918,,,,
75,Penthouse,,Covered,Under construction,,Balcony,No,,N/A,2,3000,2,2-bedroom penthouse fоr sаle,"Larnaca, Kiti",5768855,Posted: Yesterday 15:25,225000,3000,Marinos Kineyirou Estate Agancies Ltd,"Posting since may, 2017","Spacious 2 bedroom apartment in Kiti, Larnaca district.It is penthouse and is situated on the 2nd floor of the building. It featuring 2 bedrooms, 2 bathrooms a kitchen and a living room..It provides also a balcony, a storage and private covered parking. Thare is a photovoltaic system for this property..The area of internal spaces is 75sqm and covered verandas is 44sqm..It is located in very attractive area with many amenities around such us local shops, supermarkets, restaurants, cafes, pharmacies, schools and more. With very easy access to motorway network and few minutes driving to Larnaca international airport..To be noted that the project is off plan and is expected to be completed by the end of 2026.",34.846527,33.57264,183412,,No,,
78,Apartment,Ground floor,Uncovered,Resale,Fully Furnished,,"Full, all rooms",,A,2,3782,1,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6011334,Posted: Yesterday 15:22,295000,3782,LEXTRUS REAL ESTATE LTD,"Posting since aug, 2018","For Sale – Modern 2-Bedroom Apartment in Livadia (14327).Discover comfortable living in this stylish ground-floor resale apartment, located in the sought-after and fast-growing area of Livadia..? Property Features.?️ Year built: 2025.? Internal area: 78 square meter.?️ Bedrooms: 2.? Bathrooms: 2.?️ Fully furnished with modern, practical décor – move-in ready.? Energy efficiency: A rating.Perfectly designed for individuals, couples, or small families, this home offers a cozy yet contemporary lifestyle..? Why Livadia?.?️ Peaceful & family-friendly environment.??️ Close to schools, shops & parks.? Excellent links to the city center & coastline.? A growing community with modern amenities.? Presented by Lextrus Real Estate, this exceptional apartment combines style, comfort, and convenience..? Contact us today for more details or to arrange a private viewing!",34.95757290743865,33.62805005069399,14327,,No,,
77,Apartment,2nd,Covered,Under construction,,"Storage room, Elevator, Balcony","Full, all rooms",,A,2,2922,,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6011278,Posted: Yesterday 15:20,225000,2922,CIC PROPERTIES,"Posting since dec, 2020","For sale: Modern two-bedroom apartment under construction in the sought-after Metropolis Mall Larnaca area. This residence offers a well-designed internal space of 77 square meter on the second floor of a four-story building, complete with a convenient elevator. With construction set for completion in 2027, the property is finished to high standards, ensuring energy efficiency class A for enhanced comfort and lower utility costs..The apartment is perfectly positioned near Metropolis Mall Larnaca, a vibrant and modern area known for its wide range of shops, restaurants, and leisure facilities. Residents enjoy immediate access to daily essentials, entertainment, and public transport, making this an ideal choice for both busy professionals and families..Living in this modern development places you in a lively urban neighborhood, while still offering peace and privacy at home. This is an excellent opportunity to secure a quality property with strong investment potential. Contact CIC Properties today for more information or to arrange a viewing.",,,7123,,No,,
97,Apartment,5th,Covered,Resale,Unfurnished,"Elevator, Balcony","Full, all rooms",2010,B,3,2732,2,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",5962145,Posted: Yesterday 15:18,265000,2732,Kalogirou Real Estate,"Posting since mar, 2017","Lovely, Three bedroom apartment in the heart of Larnaca City Center. Great location, as all amenities, such as Greek and English schools, major supermarkets, entertainment and sporting facilities, are within close proximity. Centrally located, 600m from Finikoudes promenade and 1km from the Larnaca New Marina, in an area going through a major upgrade. A 5-minute drive to the airport. Easy access to Larnaca, Limassol and Nicosia motorway...Apartment for sale in Larnaca city Center. The properties consist of an open plan kitchen with living and dining area, a main bahtroom with wc, three bedrooms, one of which has an en-suite shower with wc. Externally, the apartment has a large space of 18sq.m. of covered veranda..It is noted that the apartment is currently rented for Euro1.060 per month..Title Deed Available.Extra: A/C, Kitchen appliances, Elevator, Covered Parking",34.9159493,33.6318004,52865,6021,No,,
76,Apartment,,,Resale,,,,2012,D,2,1513,1,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6011317,Posted: Yesterday 15:16,115000,1513,GoGordian Real Estate,"Posting since nov, 2019","The property is an apartment (door no. 104) in Livadia. It abuts Pavlou Liasidi street with a frontage of 20m. The apartment is located 250m from the roundabout connecting Kyriakou Matsi and Grigori Afxentiou Avenues and 800m from the village centre..The apartment is situated on the first floor. It has an internal area of 76sqm and 10sqm covered verandas. It consists of a living room, kitchen, two bedrooms, bathroom/toilet and a covered veranda. It also has the exclusive right of use of an uncovered parking space no. 8 on the ground floor..The apartment has a separate title deed with notes. Therefore, the sale will be executed through a Sales and Purchase Agreement.",34.948544,33.618761,9363,,,,
154,Penthouse,5th,Covered,Under construction,Unfurnished,Storage room,No,,N/A,3,5682,2,3-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Makenzy",5300924,Posted: Yesterday 15:07,875000,5682,N.K. SmartAssets Ltd,"Posting since aug, 2018","Reference ID: #SA34457.Price details: Euro875,000 +VAT.The project will be composed of 2-bedroom apartments and will be located at a walking distance from Mackenzie beach with nearby restaurants and cafes, just the perfect combination for a laidback lifestyle..Project details:.Located in one of the most touristic areas in Larnaca.2-Bedroom Apartments.Penthouse with Roof Terrace.2 minutes to Mackenzie Beach.Walking Distance to Restaurants & Cafes.Covered area: 124 sq.m..Covered veranda: 30 sq.m..Roof garden: 82 sq.m..PLUS V.A.T",,,SA34457,,,,
130,Apartment,3rd,,Resale,Unfurnished,"Pool, Elevator, Balcony",,2017,A,4,10000,4,4-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",6011243,Posted: Yesterday 14:54,1300000,negotiable,CSC Zyprus Property Group Ltd,"Posting since dec, 2020",While floor apartment with panoramic sea views,34.8926864,33.63753439999999,,,Yes,,
76,Apartment,,,Under construction,,,,,A,2,2368,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",6011161,Posted: Yesterday 13:49,180000,2368,Sabbianco Properties,"Posting since sep, 2017","Πωλείται υπό ανέγερση διαμέρισμα δύο υπνοδωματίων στην Αραδίππου – επαρχία Λάρνακας, με 76 τ.μ. καλυμμένο εσωτερικό χώρο και 16 τ.μ. καλυμμένη βεράντα στον 1ο όροφο διώροφης πολυκατοικίας με 7 διαμερίσματα στο σύνολο. Διαθέτει ενιαίο χώρο κουζίνας/τραπεζαρίας και σαλονιού, δύο χώρους υγιεινής εκ των οποίων ιδιωτικό μπάνιο (en-suite) στο κυρίως υπνοδωμάτιο, ηλιακό θερμοσίφωνα, πρόνοια σύστηματος κλιματισμού, αποθήκη και καλυμμένο χώρο στάθμευσης. Το κτίριο θα κατασκευαστεί με πρώτης τάξεως υλικά και είναι ενεργειακής κλάσης Α’. Βρίσκεται σε προνομιακή τοποθεσία, κοντά σε υπηρεσίες όπως σχολείο, αστυνομικό σταθμό, γυμναστήρια, Metropolis Mall, σούπερμαρκετ και καταστήματα με εύκολη πρόσβαση στο κέντρο πόλης και στον αυτοκινητόδρομο Λευκωσίας, Λεμεσού και Αγίας Νάπας. Τιμή πώλησης 180,000 ευρώ πλέον Φ.Π.Α.",34.95300070224789,33.59104156494141,002205283,,,,
130,Apartment,4th,Covered,Brand new,Unfurnished,"Pool, Elevator, Balcony",No,2025,A,2,2269,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Chrysopolitissa",6011058,Posted: Yesterday 13:02,295000,2269,Paul P. PERITUS REAL ESTATE AGENT,"Posting since apr, 2017","EXCLUSIVE BRAND NEW 2-BEDROOM APARTMENT.Be the very first owner of a brand-new, modern 2-bedroom residence, located in the highly desirable Chrysopolitissa area of Larnaca!.________________________________________.PROPERTY OVERVIEW.This stylish apartment offers a premium living experience with the convenience of being walking distance to all amenities..Completed in 2025, it features spacious interiors and fantastic outdoor spaces..• Bedrooms: 2.• Bathrooms: 1 Family Bathroom + 1 En-Suite Shower.• Size: 80 sqm Covered Area.• Outdoor Space: 19 sqm Verandas + an exceptional 31.5 sqm Private Roof Terrace!.LUXURY AMENITIES.• Communal Swimming Pool – Enjoy the Cyprus sun right at your doorstep..• Lift Access and Security Access for peace of mind..• Allocated Covered Parking..• Unfurnished – A blank canvas ready for your personal design..• Provisions for Air Conditioning Units and all Electrical Appliances are in place..________________________________________.PRICE: Euro295,000 (VAT Not Included).Perfect as a permanent home, a holiday retreat, or a high-yield investment! Don't miss this opportunity to secure a new-build property in a prime Larnaca location..Call us today to request the floor plans and arrange a private viewing!.For More Information, Please Feel Free To Contact Mary Directly.Telephone, WhatsApp, Viber.Email.Paul.P. Peritus Real Estate Agent LTD.Reg.No :866 | Licensed No: 381/ E",34.922319,33.628563,,,No,,
82,Apartment,,,Under construction,,,,,A,2,2305,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agioi Anargyroi II",5986749,Posted: Yesterday 12:49,189000,2305,Sabbianco Properties,"Posting since sep, 2017","Πωλείται υπο ανέγερση διαμέρισμα δύο υπνοδωματίων στην Βεργίνα – επαρχία Λάρνακας, με 82 τ.μ. καλυμμένους εσωτερικούς χώρους και 20 τ.μ. καλυμμένη βεράντα στον 1ο όροφο διώροφης πολυκατοικίας, με 16 διαμερίσματα στο σύνολο. Αποτελείται από ενιαίο χώρο σαλόνι/τραπεζαρία/κουζίνα και δύο χώρους υγιεινής εκ των οποίων ιδιωτικό μπάνιο (en-suite) στο κυρίως υπνοδωμάτιο. Διαθέτει πρόνοια κλιματισμού, ηλιακό θερμοσίφωνα, κοινόχρηστο γυμναστήριο, κοινόχρηστη πισίνα, καλυμμένο χώρο στάθμευσης και αποθήκη. Βρίσκεται 7 λεπτά από το κέντρο της Λάρνακας, είναι κοντά από Metropolis Mall, σχολείο και σε όλες τις υπηρεσίες με εύκολη πρόσβαση από τον αυτοκινητόδρομο. Τιμή πώλησης 189,000 ευρώ πλέον Φ.Π.Α.",34.9304828,33.6215744,002215520,,,,
51,Apartment,,,Under construction,,,,,A,1,2549,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5786511,Posted: Yesterday 12:49,130000,2549,Sabbianco Properties,"Posting since sep, 2017","Πωλείται υπό ανέγερση διαμέρισμα ενός υπνοδωματίου στην Αραδίππου – επαρχία Λάρνακας, με 51 τ.μ. καλυμμένο εσωτερικό χώρο και 9 τ.μ. καλυμμένη βεράντα στον 1ο όροφο τριώροφης πολυκατοικίας με 12 διαμερίσματα στο σύνολο. Διαθέτει ενιαίο χώρο κουζίνας/τραπεζαρίας και σαλονιού, ένα χώρο υγιεινής, ηλιακό θερμοσίφωνα, κοινόχρηστο σύστημα φωτοβολταικών, πρόνοια σύστηματος κλιματισμού, πρόνοια κεντρικής θέρμανσης, σύστημα πιεστικό νερού, πρόνοια φόρτισης ηλεκτρικού οχήματος, πρόνοια κοινόχρηστου γυμναστήριου, πρόνοια πάρκου, θυροτηλεόραση στην είσοδο, αποθήκη και καλυμμένο χώρο στάθμευσης. Το κτίριο θα κατασκευαστεί με πρώτης τάξεως υλικά και είναι ενεργειακής κλάσης Α’. Βρίσκεται πολύ κοντά σε υπηρεσίες όπως σούπερμαρκετ, σχολεία, πάρκα, Metropolis Mall με εύκολη πρόσβαση στο κέντρο πόλης και στον αυτοκινητόδρομο Λευκωσίας, Λεμεσού και Αγίας Νάπας. Τιμή πώλησης 130,000 ευρώ πλέον Φ.Π.Α.",34.917438,33.605027,002187567,,,,
