Property area,Type,Floor,Parking,Condition,Furnishing,Included,Online viewing,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Registration block,Registration number
104,Apartment,1st,Covered,Brand new,Fully Furnished,"Garden, Elevator, Alarm, Balcony, Storage room",Yes,"Full, all rooms",2025,A,2,2596,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",6012559,Posted: Today 12:01,270000,2596,KALAMON HOMES,"Posting since nov, 2017","Exclusive Opportunity at Kalamon Noma – Larnaca ✨.We’re excited to present Move-In ready apartments and a ground floor shop in our premium development designed for modern, upscale living..🔥 Available Now.📐 Internal Covered Area: 84square meter.🌿 Veranda: 20square meter.🛋️ Premium furniture package included.⚡ Premium electrical package included.💶 Price: Euro270,000 + VAT.✨ Don’t miss the chance to make Kalamon Noma your new home!",34.93496626900193,33.62152333339957,NOMA-101,,,
115,Apartment,Ground floor,Uncovered,Resale,Unfurnished,"Garden, Elevator",,,,B,2,1643,1,2-bedroom apartment fоr sаle,"Larnaca, Drosia",5969708,Posted: Today 11:40,189000,negotiable,Property Masters,"Posting since jan, 2021","Ground floor 2- bedroom apartment for sale in Faneromeni, Larnaca., short distance to everyday amenities and FInikoudes beach, supermarkets, pharmacies, banks etc. Flat is fully furnished & equipped. It consists of: Separate dining area and kitchen & living room, covered front veranda, 2 bedrooms. Family bathroom Covered private parking and storage..- Covered area : 75 sqm.- Yard : 40sq.m.- Fully renovated 2025.-Title deed available",34.91222,33.61543,,,,
115,Apartment,Ground floor,Uncovered,Resale,Unfurnished,"Garden, Elevator",,,,B,2,1643,1,2-bedroom apartment fоr sаle,"Larnaca, Drosia",5969708,Posted: Today 11:40,189000,negotiable,Property Masters,"Posting since jan, 2021","Ground floor 2- bedroom apartment for sale in Faneromeni, Larnaca., short distance to everyday amenities and FInikoudes beach, supermarkets, pharmacies, banks etc. Flat is fully furnished & equipped. It consists of: Separate dining area and kitchen & living room, covered front veranda, 2 bedrooms. Family bathroom Covered private parking and storage..- Covered area : 75 sqm.- Yard : 40sq.m.- Fully renovated 2025.-Title deed available",34.91222,33.61543,,,,
52,Apartment,Ground floor,Covered,Resale,,"Pool, Elevator",No,No,2010,N/A,1,2317,1,1-bedroom apartment fоr sаle,"Larnaca, Tersefanou",5974035,Posted: Today 08:42,120500,2317,Marinos Kineyirou Estate Agancies Ltd,"Posting since may, 2017","One bedroom apartment in Tersefanou community, in Larnaca District..The property benefits from its proximity to a wide range of amenities and services, including supermarkets, cafes, and restaurants, ensuring convenience for residents. Furthermore, it is situated approximately 4 kilometers north of the coastal shores of Pervolia, offering easy access to the sea. Additionally, Larnaca International Airport is only a 15-minute drive away..The apartment was constructed in 2010 and it is located on the ground floor of the building. It comprises of kitchen/living room/dining room as an open space, one bedroom, bathroom with WC, covered veranda and uncovered veranda. Furthermore, it has parking space and a yard with an area of 76 sqm on the ground floor. There is common swimming pool in the complex..The area of the internal spaces is 52 sqm, and the covered veranda is 10 sqm..The flat is vacant and it is considered as ideal choice as it is suitable for rental (short term or long term) or for private use..The flat has separate title deed.",34.855366,33.54689,184163,,,
52,Apartment,Ground floor,Covered,Resale,,"Pool, Elevator",No,No,2010,N/A,1,2317,1,1-bedroom apartment fоr sаle,"Larnaca, Tersefanou",5974035,Posted: Today 08:42,120500,2317,Marinos Kineyirou Estate Agancies Ltd,"Posting since may, 2017","One bedroom apartment in Tersefanou community, in Larnaca District..The property benefits from its proximity to a wide range of amenities and services, including supermarkets, cafes, and restaurants, ensuring convenience for residents. Furthermore, it is situated approximately 4 kilometers north of the coastal shores of Pervolia, offering easy access to the sea. Additionally, Larnaca International Airport is only a 15-minute drive away..The apartment was constructed in 2010 and it is located on the ground floor of the building. It comprises of kitchen/living room/dining room as an open space, one bedroom, bathroom with WC, covered veranda and uncovered veranda. Furthermore, it has parking space and a yard with an area of 76 sqm on the ground floor. There is common swimming pool in the complex..The area of the internal spaces is 52 sqm, and the covered veranda is 10 sqm..The flat is vacant and it is considered as ideal choice as it is suitable for rental (short term or long term) or for private use..The flat has separate title deed.",34.855366,33.54689,184163,,,
50,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Balcony",,,,N/A,1,2600,1,1-bedroom apartment fоr sаle,"Larnaca, Kiti",5999038,Posted: Yesterday 10:53,130000,2600,EUROESTATE S.D AGENCY LTD,"Posting since nov, 2023","1 Bedroom Apartment for Sale in Kiti..The apartment is under construction and it is 50sqm internal , 12 sqm covered veranda, with covered parking slot and a storage room..Delivery date December 2025.For more information please contact us!",34.846986196207,33.576604056608,1341,7550,,
50,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Balcony",,,,N/A,1,2600,1,1-bedroom apartment fоr sаle,"Larnaca, Kiti",5999038,Posted: Yesterday 10:53,130000,2600,EUROESTATE S.D AGENCY LTD,"Posting since nov, 2023","1 Bedroom Apartment for Sale in Kiti..The apartment is under construction and it is 50sqm internal , 12 sqm covered veranda, with covered parking slot and a storage room..Delivery date December 2025.For more information please contact us!",34.846986196207,33.576604056608,1341,7550,,
85,Apartment,1st,Covered,Resale,Fully Furnished,"Elevator, Balcony, Storage room",,"Full, all rooms",2011,B+,2,2188,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",6007665,Posted: 23.09.2025 14:54,186000,2188,THEODOROS,"Posting since sep, 2020","ΔΙΑΜΕΡΙΣΜΑ 2 ΥΠΝΟΔΩΜΑΤΙΩΝ, ΚΑΤΑΣΚΕΥΗΣ 2011, ΠΛΗΡΩΣ ΕΠΙΠΛΩΜΕΝΟ, ΜΕ ΗΛΕΚΤΡΙΚΕΣ ΝΕΕΣ ΣΥΣΚΕΥΕΣ ΚΑΙ AIR CONDITION INVERTER, ΣΕ ΑΡΙΣΤΗ ΚΑΤΑΣΤΑΣΗ. ΔΙΑΘΕΤΕΙ ΚΑΛΗΜΕΝΗ ΘΕΣΗ ΣΤΑΥΘΜΕΥΣΗΣ, ΑΠΟΘΗΚΗ, ΔΥΟ ΜΠΑΛΚΟΝΙΑ. ΒΡΙΣΚΕΤΑΙ ΚΟΝΤΑ ΣΤΟ ΓΗΠΕΔΟ ΑΝΟΡΘΩΣΗΣ, ΣΕ ΗΣΥΧΗ ΚΑΙ ΩΡΑΙΑ ΠΕΡΙΟΧΗ. ΔΙΑΤΙΘΕΤΑΙ ΓΙΑ ΠΩΛΗΣΗ. ΚΑΤΑΛΛΗΛΟ ΓΙΑ ΔΙΑΜΟΝΗ ΖΕΥΓΑΡΙΟΥ Η ΜΙΚΡΗΣ ΟΙΚΟΓΕΝΕΙΑΣ 1/2 ΠΑΙΔΙΑ. ΠΑΡΑΚΑΛΩ ΟΧΙ ΜΕΣΙΤΕΣ..Two-Bedroom Apartment, fully furnished, with electrical appliances and air conditioning, NEW or in excellent condition..Includes a covered parking space, storage room, and two balconies..Located near the Anorthosis stadium, in a quiet and pleasant area..Available for SALE..Ideal for a couple or a small family with 1–2 children. NO AGENTS PLZ.",34.93820058017846,33.62100719127785,,6056,1,12470
192,Penthouse,3rd,Covered,Under construction,Unfurnished,"Garden, Elevator, Balcony, Storage room",No,Partly,2025,A,2,1391,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Kamares",5113344,Posted: 23.09.2025 08:56,267000,1391,HOME CITY INVESTMENTS,"Posting since feb, 2017","2 bedroom penthouse apartment with huge roof garden and amazing views at the prestigious area of Krasas heights in Larnaka.-78m2 covered + 25m2 veranda + 69m2 roof garden.- high end finishes and technical specs.- Photovoltaic Panels 2,3kW.- gypsomboard ceilings with led lights.- bbq area.Delivery 10/2025",,,,,,
192,Penthouse,3rd,Covered,Under construction,Unfurnished,"Garden, Elevator, Balcony, Storage room",No,Partly,2025,A,2,1391,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Kamares",5113344,Posted: 23.09.2025 08:56,267000,1391,HOME CITY INVESTMENTS,"Posting since feb, 2017","2 bedroom penthouse apartment with huge roof garden and amazing views at the prestigious area of Krasas heights in Larnaka.-78m2 covered + 25m2 veranda + 69m2 roof garden.- high end finishes and technical specs.- Photovoltaic Panels 2,3kW.- gypsomboard ceilings with led lights.- bbq area.Delivery 10/2025",,,,,,
95,Apartment,1st,Covered,Under construction,Unfurnished,"Garden, Elevator, Balcony, Storage room",No,No,,A,2,1979,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5046496,Posted: 23.09.2025 08:56,188000,1979,HOME CITY INVESTMENTS,"Posting since feb, 2017",2 bedroom under Construction apartment at Aradippou area ( behind Lidl supermarket).The building consists of 6 apartments (2 on each floor ) which is detached and located on a cul de sac..A lovely green park is located back of the building.last available apartemnt at the building.Delivery 02/2026.Project : Home City Residences 4,34.93940065765578,33.59081954481483,,,,
95,Apartment,1st,Covered,Under construction,Unfurnished,"Garden, Elevator, Balcony, Storage room",No,No,,A,2,1979,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5046496,Posted: 23.09.2025 08:56,188000,1979,HOME CITY INVESTMENTS,"Posting since feb, 2017",2 bedroom under Construction apartment at Aradippou area ( behind Lidl supermarket).The building consists of 6 apartments (2 on each floor ) which is detached and located on a cul de sac..A lovely green park is located back of the building.last available apartemnt at the building.Delivery 02/2026.Project : Home City Residences 4,34.93940065765578,33.59081954481483,,,,
96,Apartment,Ground floor,Uncovered,Under construction,Unfurnished,"Garden, Balcony, Playroom",Yes,No,2025,A,3,2344,2,3-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5613962,Posted: 22.09.2025 16:03,225000,2344,A&T OASIS LUXURY HOUSES LTD,"Posting since feb, 2021","ONLY THIS UNIT LEFT!.For sale - Spacious Ground Floor Apartment with private parking, 3 bedrooms and 2 bathrooms!.OASIS DREAM HOMES Introduces:.VIOLET DIAMOND RESIDENCE..A residential building situated in Aradippou area behind LIDL and very close to all amenities..The building consists of ONLY 6 units, four 2 bedroom 2 bathroom apartments on first and second floor, a 3 bedroom 2 bathroom Penthouse on 3rd floor and a 3 bedroom 2 bathroom house on Ground floor with its private 2 car parking place, veranda and garden..For sale is the Ground Floor House with the following features:.Bedrooms: 3.Bathrooms: 2.Covered Internal Area: 96 m2.Covered Veranda: 7 m2.Uncovered Parking: 24 m2.Storage room: 3 m2.Uncovered Veranda with garden: 43 m2.Total Area: 170 m2.Elevate Your Lifestyle:.This 3-bedroom Ground floor apartment in Aradippou, although it is part of building, it has the benefit of being separated from the other flats of the building. It is designed to redefine your living experience. Immerse yourself in the epitome of elegance, where every detail has been carefully crafted for your comfort and delight..FOR ONLY EUR225,000 + VAT.Contact us for more details and to arrange an appointment..Exclusive Amenities:.Storage Room:.Keep your living space organized storage at the ground floor..Provision for A/C:.Stay comfortable in all seasons with pre-installed air conditioning provisions..Presurized System:.Enjoy consistent water pressure, ensuring your daily comfort..Luxurious Finishes:.Double Glazing: Experience serenity within your urban oasis, shielded from noise for undisturbed living..Granite Countertops:.Revel in the timeless elegance and durability of granite in your kitchen..High-Quality Wardrobes:.Organize your belongings with style in spacious, top-quality wardrobes..Thermal-Insulated Bricks:.Enjoy optimal temperature control and energy efficiency in every corner of your home..Outdoor Bliss:.Veranda: Unwind and breathe in fresh air in your private balcony space, offering a seamless blend of indoor and outdoor living..Prime Location:.4 Minutes Walking Distance: Explore nearby supermarkets, restaurants, coffee shops, pharmacies, bakeries, and parks..10 Minutes to Era Mall, SuperHome, Bricologe: Everything you need at your fingertips..5 Minutes to the Metropolis Mall: Indulge in shopping and entertainment..15 Minutes to Finikoudes and Ermou Square: Immerse yourself in the vibrant city life..1 minute distance to Primary and high schools..Easy Access to Main Roads:.Seamless connectivity to major routes, making your commute effortless..Construction Details:.This exquisite house is a testament to superior craftsmanship. Construction is in process, ensuring meticulous attention to detail and the highest construction standards. Your penthouse will be ready to welcome you home by October 2025..Secure Your Dream Home:.This is more than just a home; it's a statement of your refined taste and discerning lifestyle. Don't miss this opportunity to elevate your living experience to unparalleled heights.",34.94073008707275,33.59303875736609,,7102,,
96,Apartment,Ground floor,Uncovered,Under construction,Unfurnished,"Garden, Balcony, Playroom",Yes,No,2025,A,3,2344,2,3-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5613962,Posted: 22.09.2025 16:03,225000,2344,A&T OASIS LUXURY HOUSES LTD,"Posting since feb, 2021","ONLY THIS UNIT LEFT!.For sale - Spacious Ground Floor Apartment with private parking, 3 bedrooms and 2 bathrooms!.OASIS DREAM HOMES Introduces:.VIOLET DIAMOND RESIDENCE..A residential building situated in Aradippou area behind LIDL and very close to all amenities..The building consists of ONLY 6 units, four 2 bedroom 2 bathroom apartments on first and second floor, a 3 bedroom 2 bathroom Penthouse on 3rd floor and a 3 bedroom 2 bathroom house on Ground floor with its private 2 car parking place, veranda and garden..For sale is the Ground Floor House with the following features:.Bedrooms: 3.Bathrooms: 2.Covered Internal Area: 96 m2.Covered Veranda: 7 m2.Uncovered Parking: 24 m2.Storage room: 3 m2.Uncovered Veranda with garden: 43 m2.Total Area: 170 m2.Elevate Your Lifestyle:.This 3-bedroom Ground floor apartment in Aradippou, although it is part of building, it has the benefit of being separated from the other flats of the building. It is designed to redefine your living experience. Immerse yourself in the epitome of elegance, where every detail has been carefully crafted for your comfort and delight..FOR ONLY EUR225,000 + VAT.Contact us for more details and to arrange an appointment..Exclusive Amenities:.Storage Room:.Keep your living space organized storage at the ground floor..Provision for A/C:.Stay comfortable in all seasons with pre-installed air conditioning provisions..Presurized System:.Enjoy consistent water pressure, ensuring your daily comfort..Luxurious Finishes:.Double Glazing: Experience serenity within your urban oasis, shielded from noise for undisturbed living..Granite Countertops:.Revel in the timeless elegance and durability of granite in your kitchen..High-Quality Wardrobes:.Organize your belongings with style in spacious, top-quality wardrobes..Thermal-Insulated Bricks:.Enjoy optimal temperature control and energy efficiency in every corner of your home..Outdoor Bliss:.Veranda: Unwind and breathe in fresh air in your private balcony space, offering a seamless blend of indoor and outdoor living..Prime Location:.4 Minutes Walking Distance: Explore nearby supermarkets, restaurants, coffee shops, pharmacies, bakeries, and parks..10 Minutes to Era Mall, SuperHome, Bricologe: Everything you need at your fingertips..5 Minutes to the Metropolis Mall: Indulge in shopping and entertainment..15 Minutes to Finikoudes and Ermou Square: Immerse yourself in the vibrant city life..1 minute distance to Primary and high schools..Easy Access to Main Roads:.Seamless connectivity to major routes, making your commute effortless..Construction Details:.This exquisite house is a testament to superior craftsmanship. Construction is in process, ensuring meticulous attention to detail and the highest construction standards. Your penthouse will be ready to welcome you home by October 2025..Secure Your Dream Home:.This is more than just a home; it's a statement of your refined taste and discerning lifestyle. Don't miss this opportunity to elevate your living experience to unparalleled heights.",34.94073008707275,33.59303875736609,,7102,,
