Reference number,Property area,Type,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Online viewing,Postal code
6997,50,Apartment,Covered,Under construction,Unfurnished,"Pool, Storage room, Elevator, Balcony","Full, all rooms",,A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919050,Posted: 24.09.2025 15:01,187000,3740,2BUY&2LET,"Posting since jul, 2021","The one-bedroom apartment is thoughtfully designed to offer a balance of comfort and modern living, ideal for individuals or couples. Each unit features a spacious layout with high-quality finishes, creating a stylish and functional home environment. Residents can enjoy access to premium amenities, including a communal swimming pool and a fully equipped gym, providing both relaxation and convenience within the development..Price Euro187,000 (+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,,7060
6975,82,Apartment,Covered,Under construction,Unfurnished,"Pool, Storage room, Elevator, Balcony","Full, all rooms",,A,2,3195,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919086,Posted: 24.09.2025 15:01,262000,3195,2BUY&2LET,"Posting since jul, 2021","The two-bedroom apartment is expertly crafted to blend modern style with practical comfort, making them perfect for small families, roommates, or couples who need extra space. With generous interiors, elegant finishes, and smart layouts, each unit provides a refined and spacious living experience. Residents also benefit from exclusive access to premium on-site amenities, including a communal swimming pool and a fully equipped gym—offering the ideal balance of relaxation, wellness, and convenience..Price Euro262,000(+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,,7060
6971,50,Apartment,Covered,Under construction,Unfurnished,"Pool, Storage room, Elevator, Balcony","Full, all rooms",,A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919164,Posted: 24.09.2025 15:01,187000,3740,2BUY&2LET,"Posting since jul, 2021","The one-bedroom apartment is thoughtfully designed to offer a balance of comfort and modern living, ideal for individuals or couples. Each unit features a spacious layout with high-quality finishes, creating a stylish and functional home environment. Residents can enjoy access to premium amenities, including a communal swimming pool and a fully equipped gym, providing both relaxation and convenience within the development..Price Euro187,000 (+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,,7060
10933,78,Apartment,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",No,,A,2,2821,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5811987,Posted: 24.09.2025 14:59,220000,2821,Next Home Estate Agency,"Posting since feb, 2017","Welcome to your new home 2 bedroom apartment for sale in the heart of Livadia, Larnaca! These spacious apartments are part of only a three floor building, a modern residential building designed for comfort and convenience. The building comprises three floors with a total of six apartments, ensuring a close-knit community feel while maintaining your privacy. The apartment boasts a modern design with an open-plan living area that seamlessly connects to a private balcony, providing a tranquil outdoor space for relaxation and entertainment..Located in the centre of Livadia, you’ll enjoy easy access to local amenities, shops, and transport links, making it an ideal choice for those seeking a blend of urban convenience and suburban serenity. Its only 3 min drive to the nearest beach of Dekelia beach and 10 min drive to city centre of Larnaca..The project is Under Construction !",34.94630050853122,33.64744195861703,1st,Yes,
10953,78,Penthouse,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",No,2025,A,2,3846,2,2-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5812007,Posted: 24.09.2025 14:59,300000,negotiable,Next Home Estate Agency,"Posting since feb, 2017","Welcome to your new home 2 bedroom Penthouse apartment for sale in the heart of Livadia, Larnaca! These spacious apartments are part of only a three floor building, a modern residential building designed for comfort and convenience. The building comprises three floors with a total of six apartments, ensuring a close-knit community feel while maintaining your privacy. Your penthouse, perfect for families or those needing extra space. The apartment boasts a modern design with an open-plan living area that seamlessly connects to a private balcony, providing a tranquil outdoor space for relaxation and entertainment..Located in the centre of Livadia, you’ll enjoy easy access to local amenities, shops, and transport links, making it an ideal choice for those seeking a blend of urban convenience and suburban serenity. Its only 3 min drive to the nearest beach of Dekelia beach and 10 min drive to city centre of Larnaca..Amazing Views from the Roof Garden !.The project is Under Construction !.FLAT 301 AVAILABLE ONLY :.78 sqm Internal.21 sqm Covered veranda.52 sqm Roof Garden.151 sqm Total",34.94824357648166,33.65051724373095,3rd,Yes,
10432,74,Apartment,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",No,2025,A,2,2838,2,2-bedroom apartment fоr sаle,"Larnaca, Oroklini",5646101,Posted: 24.09.2025 14:56,210000,2838,Next Home Estate Agency,"Posting since feb, 2017","Available a modern residential building of fourteen apartments in Oroklini central..The project is located 500 meters from the Church of Profitis Elias. It’s very close to the shops, supermarkets, schools, and only 20 kilometers away from Larnaca airport, with direct access to the highway to Nicosia and Limassol. At a distance of 2 kilometers are the beaches of the area (Blue wave, Lebay beach and Palm Beach Hotel..The project has six 2-Bedroom and eight 1-Bedroom apartments. The Apartments Feature:.Covered Parking & Storage on the Ground Floor.Luxury Kitchen with Granite.Roof Garden (for the 2nd-Floor apartments).Energy Efficiency A+.Technical specifications:.Lobby & entrance – marble flooring.Steps & staircases – monolithic granite, or marble 2cm thick.Storage floor – ceramic tiles 30x30cm.Lift – for 6 persons/disabled access.Parking Area – stamp concrete.Apartment floors – ceramic 60x120cm.Kitchen worktop – granite-based work surface.Aluminium doors & Windows – double glazing with silver thermal aluminum MU3000.Plumbing – pipe in pipe / water pressure pumps system.Balustrades – safety laminated glass for balconies.Intercom for each apartment.Construction of the project is expected to begin in early 2025 with expected delivery in the summer of 2026.- 74 m2 internal.- 8 m2 Covered Veranda.- 40 m2 Roof Garden.Prices Starting from 210,000 + Vat",34.98031691477357,33.65591606855862,2nd,Yes,
,44,Apartment,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room","Full, all rooms",2025,A,1,2727,1,1-bedroom apartment fоr sаle,"Larnaca, Oroklini",5646089,Posted: 24.09.2025 14:55,120000,2727,Next Home Estate Agency,"Posting since feb, 2017","Available a modern residential building of fourteen apartments in Oroklini central..The project is located 500 meters from the Church of Profitis Elias. It’s very close to the shops, supermarkets, schools, and only 20 kilometers away from Larnaca airport, with direct access to the highway to Nicosia and Limassol. At a distance of 2 kilometers are the beaches of the area (Blue wave, Lebay beach and Palm Beach Hotel..The project has six 2-Bedroom and eight 1-Bedroom apartments. The Apartments Feature:.Covered Parking & Storage on the Ground Floor.Luxury Kitchen with Granite.Roof Garden (for the 2nd-Floor apartments).Energy Efficiency A+.Technical specifications:.Lobby & entrance – marble flooring.Steps & staircases – monolithic granite, or marble 2cm thick.Storage floor – ceramic tiles 30x30cm.Lift – for 6 persons/disabled access.Parking Area – stamp concrete.Apartment floors – ceramic 60x120cm.Kitchen worktop – granite-based work surface.Aluminium doors & Windows – double glazing with silver thermal aluminum MU3000.Plumbing – pipe in pipe / water pressure pumps system.Balustrades – safety laminated glass for balconies.Intercom for each apartment.Construction of the project is expected to begin in early 2025 with expected delivery in the summer of 2026.Starting price's from 120,000Euro.44m2 internal.5 m2 Covered Veranda",34.97980950842833,33.65604688043516,1st,Yes,
ID 2922,164,Apartment,,Brand new,,"Elevator, Balcony",,,A,2,2195,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",6009272,Posted: 24.09.2025 12:47,360000,2195,N&C Kyriakides Estates Ltd,"Posting since oct, 2018","A boutique residential complex consisting of 5 whole-floorapartments located in the city center area just a few meters away from American Academy and 1 km from Finikoudes Beach..Each apartment offers 2 spacious bedrooms with ensuites and an open plan kitchen and living room along with a guest toilet offering a comfortable living for each resident with the utmost privacy. Each floor has 88 square meters of covered areas and 2 additional covered verandas of 19 square meters. The top floor apartment on the fifth floor offers an additional rooftop area on a surface of 60 square meters that is solely owned by apartment 501..The lovely residential neighbourhood is quiet and family orientated surrounded by large luxury houses and residential properties. The project is very near to supermarkets, and private schools such as the American Academy and with immediate access to highways to Nicosia, Limassol, Paphos, and Ammochostos. Being fully designed and studied a professional team of Architects, Engineers, and Interior Designers, the modern design makes excellent use of features like top-quality Italian ceramic finish, unique glass balconies, and clever layout of living areas designed to offer optional space, privacy, and views of the prestigious Finikoudes Beach..The project will have an energy efficiency of grade “A” since a photovoltaic system will be installed on the roof to produce renewable energy. The photovoltaic panels through “net metering” will make sure owners benefit from significant savings in electricity consumption..Availabilty:.Flat 501 only with extra roof garden area at 60sqm.",34.9090913340898,33.63404273986816,5th,,
2639,75,Apartment,No,Resale,,,No,Older,N/A,2,2520,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",6009257,Posted: 24.09.2025 12:43,189000,2520,Property Masters,"Posting since apr, 2019","For sale is a spacious ground-floor apartment in Drosia. This modern home offers 75 square meter of internal space and has been thoughtfully renovated in 2025, blending contemporary style with practical living. The apartment features two comfortable bedrooms, one bathroom, a bright living area, and a kitchen designed for convenience and daily comfort..Located in a well-maintained building originally built in 1980, this apartment boasts large windows that provide plenty of natural light and a pleasant city view. The layout makes the most of each square meter, offering a welcoming atmosphere for small families, couples, or professionals..Town Center is known for its vibrant atmosphere and excellent location. Residents enjoy being surrounded by shops, cafes, restaurants, and all essential amenities within walking distance. The area is well connected, making it easy to reach schools, offices, and public transport, while still offering a friendly neighborhood feel..Don't miss the opportunity to live in a fully renovated, move-in-ready apartment in a lively city setting. For more details or to schedule a viewing, contact Property Masters today.",34.91449944158859,33.62177067638981,Ground floor,No,
50293,52,Apartment,Covered,Under construction,Unfurnished,"Pool, Elevator","Full, all rooms",,A,1,4038,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5635240,Posted: 24.09.2025 12:18,210000,4038,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, 1- Bed Flat with Roof Garden & Pool View in Livadia area, Larnaca. Located in a calm and prestigious neighborhood, close to schools, supermarkets, banks, pharmacy and a lot more amenities. A short drive to Larnaca Town Center and the 2.2 km from the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is 15 minutes driving distance..Top Floor Apartment for sale in Livadia area, Larnaca. The apartment is on the second floor, consists of an open plan kitchen, living room and dining area, one bedroom, one bathroom with shower & wc, covered veranda with pool view and large roof garden. In addition, the property offers storage, covered parking on the ground floor and provision for jacuzzi on the roof garden. The residents can enjoy complex’s common swimming pool..The development comprised of 2 blocks of apartments and 22 apartments in total. This new project presents exceptional accommodations, blending all the essentials of an ideal home. Meticulously designed for your comfort and satisfaction, it radiates elegance. Situated in a unique location with a simple yet inviting atmosphere, it promises to make you feel right at home..Extra: Pool View, Large Roof Garden, Provision A/C, Thermal Insulation, Storage, Covered Parking, Common Pool",34.94350890862719,33.61953185265239,2nd,No,7060
50289,79,Apartment,Covered,Under construction,Unfurnished,"Pool, Elevator","Full, all rooms",,A,2,3038,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5634968,Posted: 24.09.2025 12:18,240000,3038,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, 2- Bed Flat with Roof Garden & Common Pool in Livadia area, Larnaca. Located in a calm and prestigious neighborhood, close to schools, supermarkets, banks, pharmacy and a lot more amenities. A short drive to Larnaca Town Center and the 2.2 km from the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is 15 minutes driving distance..Top Floor Apartment for sale in Livadia area, Larnaca. The apartment is on the second floor. It consists of an open plan kitchen, living room and dining area, a main bathroom with shower, two bedrooms, master bedroom is en suite, covered veranda and a lovely roof garden. In addition, the property offers storage and covered parking on the ground floor. The residents can enjoy complex’s common swimming pool..The development comprised of 2 blocks of apartments and 22 apartments in total. This new project presents exceptional accommodations, blending all the essentials of an ideal home. Meticulously designed for your comfort and satisfaction, it radiates elegance. Situated in a unique location with a simple yet inviting atmosphere, it promises to make you feel right at home..Extra: Roof Garden, Provision A/C, Thermal Insulation, Storage, Covered Parking, Common Pool",34.94350890862719,33.61953185265239,2nd,No,7060
50288,52,Apartment,Covered,Under construction,Unfurnished,"Pool, Elevator","Full, all rooms",,A,1,4038,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5634967,Posted: 24.09.2025 12:18,210000,4038,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, 1- Bed Flat with Roof Garden & Common Pool in Livadia area, Larnaca. Located in a calm and prestigious neighborhood, close to schools, supermarkets, banks, pharmacy and a lot more amenities. A short drive to Larnaca Town Center and the 2 km from the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is 15 minutes driving distance..Top Floor Apartment for sale in Livadia area, Larnaca. The apartment is on the second floor. It consists of an open plan kitchen, living room and dining area, one bedroom, one bathroom with shower & wc, provision for A/C, spacious covered veranda and large roof garden. In addition, the property offers storage, covered parking on the ground floor and provision for jacuzzi on the roof garden. The residents can enjoy complex’s common swimming pool..The development comprised of 2 blocks of apartments and 22 apartments in total. This new project presents exceptional accommodations, blending all the essentials of an ideal home. Meticulously designed for your comfort and satisfaction, it radiates elegance. Situated in a unique location with a simple yet inviting atmosphere, it promises to make you feel right at home..Extra: Large Roof Garden, Provision A/C, Thermal Insulation, Storage, Covered Parking, Common Pool",34.94350890862719,33.61953185265239,2nd,No,7060
49650,78,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony","Full, all rooms",,A,2,2500,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5634961,Posted: 24.09.2025 12:18,195000,2500,Kalogirou Real Estate,"Posting since mar, 2017","Second Floor, Two Bedroom Apartment for sale in Aradippou area, Larnaca. Amazing location, close to all amenities such as schools, veterinary clinic, major supermarkets, pharmacies etc. Only few minutes away from the new Metropolis Mall of Larnaca. A short drive to Larnaca Town Center. Very easy access to Larnaca, Nicosia, Limassol motorway without getting delayed in any traffic..Apartment for sale in Aradippou area, Larnaca. This beautiful apartment consists of an open plan kitchen and living room, dining area, a main bathroom with shower and wc, two bedrooms, master bedroom is en suite with shower and covered veranda. Internal covered area of the apartment is 78 sqm and the veranda is 22 sqm. The property has also access to a covered parking and storage room on the ground floor..The flat is a part of a modern residential project. It boasts 9 two and three bedroom apartments– all with spacious and contemporary living areas. There are three apartments per storey – ensuring optimum privacy for potential buyers. Top floor apartments benefit from individual private and luxury roof-gardens with amazing views of the lovely neighborhood. Each apartment has one parking bay and a storage room on the ground level..Extra: Covered Verandas, Provision for A/C, Elevator, Storage room, Covered Parking",34.9381836402261,33.59415926786326,2nd,No,7102
48149,68,Apartment,Uncovered,Resale,Unfurnished,"Pool, Garden, Elevator, Balcony","Full, all rooms",2012,E,2,1544,1,2-bedroom apartment fоr sаle,"Larnaca, Mazotos",5384982,Posted: 24.09.2025 12:18,105000,1544,Kalogirou Real Estate,"Posting since mar, 2017","Amazing, Two Bedroom Duplex for Sale in Mazotos area, Larnaca. Part of a lovely project in a beautiful elevated location on the outskirts of Mazotos. It is located on the outskirts of Mazotos and is a 20-minute drive to the center of Larnaca..Apartment for sale in Mazotos, Larnaca. The property has an internal area of 68sqm and consists of two bedrooms and a bathroom on the first floor and an open plan living/dining area and kitchen on the second floor. The two floors are connected via an internal staircase. It features double glazed windows, marble kitchen countertops, ceramic flooring and split units installed. It enjoys exclusive right of use of one uncovered parking space..The building complex consists of a communal swimming pool, a cafe, a gym and uncovered parking areas on the ground floor..The wider area of the property comprises of residential and touristic developments..Extra: Elevator, Uncovered Parking, A/C, Communal Pool.",34.79706549999999,33.4862232,1st,No,
45787,44,Apartment,Covered,Under construction,Unfurnished,"Storage room, Balcony","Full, all rooms",,A,1,2727,1,1-bedroom apartment fоr sаle,"Larnaca, Oroklini",5634959,Posted: 24.09.2025 12:18,120000,2727,Kalogirou Real Estate,"Posting since mar, 2017","Unique, One Bedroom Apartment for Sale in Oroklini area, Larnaca. Close to all amenities such as school, supermarket, bank, pharmacy, restaurant, are all within close proximity. A 5-minute drive to the famous Oroklini and Dekeleia beaches. A short drive to Larnaca Town. Easy access to the motorway of Larnaca – Ayia Napa..Apartment for sale in Oroklini, Larnaca. The property comprises of an open plan kitchen, living and dining area, one bedroom and a main bathroom with shower and wc. The apartment has access to a storage room and a covered parking spot on the ground floor..The apartment is a part of a modern residential building of fourteen apartments in Oroklini. The project has 6 two-bedrooms and 8 one-bedroom apartments. Each apartment feature covered Parking & storage on the ground floor, luxury kitchen with granite countertops, beautiful roof garden for all of the second floor apartments and certificate of Energy Efficiency A. It’s an ideal choice for permanent living or investment at the same time..Extra: Provision for A/C, Covered Parking, Storage",34.9840979,33.6533118,1st,No,7040
45151,55,Apartment,No,Resale,Fully Furnished,Elevator,"Full, all rooms",1997,E,1,2491,,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5634956,Posted: 24.09.2025 12:18,137000,2491,Kalogirou Real Estate,"Posting since mar, 2017","Modern, Fully Furnished, One Bedroom Apartment for sale inNew marina , Larnaca. Amazing location, close to all amenities such as shops, restaurants, supermarkets, banks, pharmacies, bus stops, schools etc. Just minutes away from Larnaca Town Centre, the harbor and the beach. Only 13-minutes away from Larnaca International Airport and just 10 minutes away from the famous Makenzy..Apartment for sale in New marina. The property consists of one bedroom, an open plan kitchen and living room, 1 shower, 1wc, A/C, kitchen appliances and is fully furnished..Title Deed Available..Extra: Kitchen Appliances, Elevator, Fully Furnished.",34.92448855654748,33.6348121655672,2nd,No,6018
1079,128,Apartment,Uncovered,Brand new,Fully Furnished,Balcony,,Older,N/A,3,2734,2,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5423118,Posted: 24.09.2025 12:13,350000,2734,EUROESTATE S.D AGENCY LTD,"Posting since nov, 2023","Charming 3 bedroom penthouse currently available for Sale in Agios Nikolaos area in Larnaca..This property was built in 1987 and underwent major work in 2014 where a second floor was added to the property. This second floor could be separated by the new owner to create a separate apartment as there is also an external staircase available to access it. A large veranda is also available on the upper floor, , creating an inviting space for both relaxation and entertaining..With an internal area of 128 sqm, this 3 bedroom and 2 bathroom property can be sold both as furnished or unfurnished. Fully equipped with all necessary electrical appliances and fully air-conditioned throughout, this home guarantees year-round comfort..Please contact us for further information and to arrange a viewing.",34.9105584,33.6203259,,,6031
168374,142,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,2324,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5918624,Posted: 24.09.2025 12:10,330000,2324,DOM Real Estate,"Posting since jul, 2019","Penthouse with two bedrooms and a roof terrace for sale in Kamares, Larnaca. The modern apartment is located in a new residential complex, just 5 minutes from Finikoudes Beach, 3 minutes from Metropolis Mall and 10 minutes from Larnaca International Airport. The decoration uses high-quality materials: European ceramic tiles, modern kitchen cabinets and built-in wardrobes. The complex is located in a prestigious residential area with easy access to the highways connecting Larnaca with other cities. Each apartment includes a parking space and a storage room.",,,,Yes,4102
168431,191,Apartment,Covered,Under construction,Unfurnished,,"Full, all rooms",,A,2,1702,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5918623,Posted: 24.09.2025 12:10,325000,1702,DOM Real Estate,"Posting since jul, 2019","Penthouse with 2+1 bedrooms and a roof terrace for sale in Kamares, Larnaca. The modern apartment is located in a new residential complex — gated, with controlled access, green areas, communal terraces and a rooftop garden with a swimming pool and panoramic views of Larnaca and the Salt Lake. The apartment is made using high-quality materials: porcelain stoneware in the kitchen, bathroom and living room areas, parquet or tiles with a wood effect in the bedrooms. Thermal insulation, the possibility of installing a smart home system, underfloor heating and air conditioning in all rooms are provided. Each apartment is provided with an individual parking space and a storage room. The complex is equipped with a video surveillance system and a photovoltaic system for energy efficiency of common areas.",,,,Yes,4102
